poet,gender,
Norman Macleod,M,
Wilfrid Wilson Gibson,M,
Allison Adelle Hedge Coke,F,
George Eliot,M,
Richard Jones,M,
Twyla Hansen,F,
Jerzy Ficowski,M,
S.J. Fowler,M,
Timothy Murphy,M,
Ben Vogt,M,
Allen Tate,M,
Chris Green,M,
Tony Gloeggler,M,
Lucy Larcom,F,
Georgia Douglas Johnson,F,
Alli Warren,F,
Brian Russell,M,
Sara Miller,F,
Cheryl Boyce-Taylor,F,
Carrie Olivia Adams,F,
Roisin Kelly,F,
Adrienne Rich,F,
Seamus Heaney,M,
Martín Espada,M,
Fabio Pusterla,M,
Liane Strauss,F,
Mary-Sherman Willis,F,
John Updike,M,
Suzanne Gardinier,F,
Elizabeth Seydel Morgan,F,
Christopher Shannon,M,
Sara Teasdale,F,
Alda Merini,F,
Kate Buckley,F,
Lesley Wheeler,F,
Marsha Truman Cooper,F,
Angela de Hoyos,F,
Emily Pérez,F,
Sholeh Wolpé,F,
Paul Grant,M,
Afshan Shafi,F,
Clarinda Harriss,F,
Abraham Cowley,M,
Raza Ali Hasan,M,
Graham Foust,M,
Callie Garnett,F,
Mia Kang,F,
Harriet Monroe,F,
Margaret Avison,F,
Edith Sitwell,F,
Hilda Raz,F,
Sara Littlecrow-Russell,F,
Charles Baudelaire,M,
Michael Basinski,M,
H. D.,F,
Phillip B. Williams,M,
Christopher Todd Matthews,M,
George Henry Boker,M,
Katherine Hauth,F,
Wyatt Prunty,M,
Antonio Machado,M,
Anthony Hecht,M,
Olivia Maciel,F,
James Arthur,M,
Rhina P. Espaillat,F,
Barbara Hamby,F,
Robert Creeley,M,
Diane Lockward,F,
Jaya Savige,M,
Jake Crist,M,
Moira Egan,F,
Bernadette Mayer,F,
Garrett Caples,M,
John Murillo,M,
Jerome Rothenberg,M,
Karin Gottshall,F,
Roxane Beth Johnson,F,
R. S. Thomas,M,
Alice Cary,F,
Jonterri Gadson,F,
Claire Trévien,F,
Robert Haight,M,
